App Job Id,Server,Client,Status,Status Code,Backup Level,Backup Size (GB),Total Files,Files Not Backed Up,Started,Finished,Duration (Minutes),Expires,Total Jobs,Reduction Ratio,Deduplication Ratio,Successful Copies,Failed Copies
JOB2001,HYD-SERVER-01,VM-WEB-01,Success,0,Full,101.08,161722,0,2026-07-09 01:14,2026-07-09 01:37,23,2026-08-08,1,2.28,2.07,1,0
JOB2002,HYD-SERVER-01,VM-WEB-01,Running,102,Full,100.95,161522,5,2026-07-10 00:01,,,2026-08-09,1,1.55,1.61,0,0
JOB2003,HYD-SERVER-01,VM-WEB-01,Success,0,Incremental,100.64,161027,5,2026-07-11 04:26,2026-07-11 04:55,29,2026-08-10,1,2.14,1.97,1,0
JOB2004,HYD-SERVER-01,VM-WEB-01,Running,102,Full,100.54,160863,0,2026-07-12 02:17,,,2026-08-11,1,1.54,1.92,0,0
JOB2005,HYD-SERVER-01,VM-WEB-01,Running,102,Incremental,101.03,161647,0,2026-07-13 00:22,,,2026-08-12,1,2.17,1.97,0,0
JOB2006,HYD-SERVER-01,VM-WEB-01,Success,0,Incremental,104.24,166787,2,2026-07-14 03:05,2026-07-14 03:55,50,2026-08-13,1,2.53,1.74,1,0
JOB2007,HYD-SERVER-01,VM-WEB-01,Success,0,Full,102.36,163772,5,2026-07-15 00:02,2026-07-15 00:59,57,2026-08-14,1,2.44,2.18,1,0
JOB2008,HYD-SERVER-01,VM-DB-01,Running,102,Incremental,119.38,191015,0,2026-07-09 02:29,,,2026-08-08,1,1.46,1.43,0,0
JOB2009,HYD-SERVER-01,VM-DB-01,Success,0,Full,121.62,194598,0,2026-07-10 04:40,2026-07-10 05:05,25,2026-08-09,1,1.46,1.46,1,0
JOB2010,HYD-SERVER-01,VM-DB-01,Failed,500,Incremental,121.47,194350,120,2026-07-11 04:14,2026-07-11 05:12,58,2026-08-10,1,2.55,1.93,0,1
JOB2011,HYD-SERVER-01,VM-DB-01,Success,0,Full,119.36,190984,0,2026-07-12 03:17,2026-07-12 03:36,19,2026-08-11,1,2.66,1.68,1,0
JOB2012,HYD-SERVER-01,VM-DB-01,Success,0,Incremental,121.87,194989,0,2026-07-13 03:25,2026-07-13 04:21,56,2026-08-12,1,1.43,1.17,1,0
JOB2013,HYD-SERVER-01,VM-DB-01,Success,0,Incremental,720.4,1152648,5,2026-07-14 04:27,2026-07-14 05:19,52,2026-08-13,1,1.78,2.2,1,0
JOB2014,HYD-SERVER-01,VM-DB-01,Running,102,Full,118.9,190241,5,2026-07-15 00:48,,,2026-08-14,1,2.58,1.18,0,0
JOB2015,HYD-SERVER-02,VM-APP-01,Success,0,Incremental,64.71,103543,2,2026-07-09 03:24,2026-07-09 04:17,53,2026-08-08,1,2.05,2.17,1,0
